-1994 1745 1076
-1182 1163 737
599 2136 1376
-1931 1074 745
-15 1551 1050
-2122 1602 1157
-1257 1309 948
-2126 1118 878
-1383 1218 975
-1916 963 852
-394 58 72
359 594 437
-1167 257 305
-1560 1216 1132
1313 1979 1515
-1525 1690 1668
-49 1573 1429
-556 1307 1296
-979 1187 1295
-1819 639 957
-492 1428 1560
-460 1449 1674
439 1401 1495
-631 375 668
-1480 -226 227
-1420 -214 271
-2602 -937 -243
-1361 -149 466
-160 1354 2581
1027 704 736
1474 1357 1892
1127 714 737
1120 687 809
-465 277 2022
-125 458 2341
-275 340 2427
-573 -253 79
1086 665 2234
-2148 -1056 962
-2525 -1347 936
-2488 -1370 873
-2019 -1347 1529
-1544 -1001 491
-1658 -1133 523
-869 -1161 1808
-1984 -1661 1139
-1912 -1573 865
-1606 -1601 1254
-1788 -1697 1092
-1612 -1534 910
-1612 -1523 828
-2421 -1763 172
2063 413 1562
468 -294 863
-171 -1807 1918
-1172 -1155 240
-1128 -2046 1119
-1302 -1963 843
-947 -1866 955
-2112 -2207 323
-1007 -1471 478
-983 -2245 1075
-1178 -2029 729
-77 -2292 1666
-220 -1196 744
-954 -2346 1086
995 -254 849
-725 -2332 1157
-205 -1551 933
-2009 -2031 58
-958 -1622 449
-2064 -2130 63
-430 -755 197
841 -2175 1819
-768 -2646 1037
-1500 -2397 390
1152 -2143 1751
-1257 -2499 497
-829 -2117 503
-594 -1343 239
-660 -1480 255
1087 -1621 1195
1108 -1504 1128
1160 -1556 1153
1027 -1279 928
1035 -2328 1208
-551 -1445 169
1453 -2717 1440
-577 -1578 181
892 -2467 1047
752 -2263 836
919 -1099 621
827 -2189 945
-828 -1568 -33
-557 -1434 32
-481 -1597 41
1097 -1430 550
-2562 -745 -965
-405 -227 -2244
-874 428 -2134
1848 -1525 -402
1211 176 -152
2092 725 1401
-2147 541 -1319
-1679 -186 -1494
-894 -2311 1043
1618 374 -1830
-2160 2066 -58
-500 10 965
-2706 274 -59
-1833 2217 149
-1727 279 629
2450 77 -172
-259 -1581 -2170
-1610 2086 189
-1824 548 -355
-2062 257 337
-2578 -60 310
1356 235 -88
-361 89 -621
-1213 48 -934
-1238 -14 145
-2947 386 34
1839 -6240 1306
-849 -2982 -10
4169 -2596 1761
3190 -4427 1558
-1165 -6694 184
5101 -4872 2247
4883 -1597 1870
2593 -6600 1461
2729 -5100 1368
5354 -1004 1960
4056 -1294 1519
4146 -2773 1647
